,pred
0,1
1,1
2,0
3,0
4,0
5,1
6,1
7,0
8,1
9,0
10,0
11,1
12,0
13,1
14,1
15,0
16,0
17,1
18,0
19,0
20,1
21,0
22,1
23,1
24,0
25,1
26,0
27,0
28,0
29,1
30,1
31,0
32,0
33,0
34,1
35,0
36,0
37,1
38,0
39,0
40,0
41,0
42,0
43,1
44,0
45,1
46,1
47,0
48,0
49,0
50,1
51,0
52,0
53,0
54,0
55,1
56,0
57,0
58,0
59,1
60,1
61,0
62,1
63,0
64,1
65,0
66,0
67,0
68,0
69,1
70,0
71,0
72,0
73,0
74,1
75,0
76,1
77,0
78,0
79,0
80,0
81,0
82,1
83,0
84,0
85,1
86,0
87,1
88,1
89,1
90,1
91,1
92,0
93,1
94,0
95,1
96,0
97,0
98,1
99,0
100,1
101,0
102,0
103,0
104,0
105,1
106,0
107,1
108,1
109,0
110,0
111,0
112,0
113,0
114,0
115,1
116,0
117,0
118,0
119,1
120,0
121,1
122,0
123,1
124,1
125,0
126,0
127,0
128,0
129,0
130,1
131,0
132,1
133,0
134,1
135,0
136,0
137,0
138,1
139,1
140,0
141,0
142,1
143,1
144,1
145,1
146,0
147,0
148,0
149,1
150,1
151,0
152,0
153,1
154,1
155,1
156,1
157,0
158,0
159,0
160,1
161,0
162,0
163,1
164,0
165,1
166,1
167,1
168,1
169,0
170,1
171,0
172,1
173,1
174,0
175,0
176,1
177,1
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,1
189,0
190,1
191,0
192,0
193,1
194,1
195,0
196,0
197,1
198,0
199,0
200,0
201,1
202,0
203,0
204,0
205,1
206,0
207,0
208,1
209,0
210,0
211,1
212,0
213,0
214,1
215,0
216,0
217,0
218,0
219,1
220,1
221,1
222,0
223,1
224,0
225,0
226,1
227,1
228,0
229,1
230,1
231,1
232,0
233,1
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,1
245,0
246,0
247,1
248,1
249,0
250,1
251,1
252,0
253,1
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,1
263,0
264,0
265,0
266,0
267,1
268,0
269,1
270,0
271,0
272,0
273,0
274,1
275,1
276,0
277,0
278,0
279,0
280,1
281,0
282,1
283,0
284,0
285,0
286,1
287,1
288,0
289,0
290,0
291,1
292,0
293,0
294,1
295,0
296,0
297,0
298,1
299,0
300,0
301,0
302,1
303,0
304,1
305,0
306,1
307,1
308,0
309,0
310,0
311,1
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,1
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,1
330,0
331,0
332,0
333,0
334,1
335,0
336,1
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,1
347,1
348,0
349,1
350,0
351,1
352,1
353,0
354,0
355,0
356,0
357,0
358,1
359,0
360,1
361,0
362,1
363,1
364,1
365,1
366,1
367,0
368,0
369,1
370,1
371,0
372,1
373,0
374,0
375,1
376,0
377,0
378,1
379,0
380,0
381,0
382,0
383,0
384,0
385,0
386,1
387,0
388,1
389,0
390,0
391,0
392,1
393,1
394,1
395,1
396,1
397,1
398,1
399,0
400,1
401,1
402,0
403,1
404,1
405,0
406,0
407,0
408,0
409,1
410,0
411,1
412,0
413,0
414,0
415,1
416,0
417,1
418,0
419,0
420,0
421,1
422,1
423,1
424,1
425,0
426,0
427,1
428,0
429,0
430,1
431,1
432,0
433,1
434,0
435,1
436,1
437,0
438,1
439,1
440,1
441,1
442,0
443,0
444,0
445,0
446,1
447,1
448,0
449,1
450,0
451,0
452,0
453,1
454,1
455,0
456,1
457,1
458,0
459,1
460,1
461,1
462,0
463,1
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,1
473,1
474,1
475,0
476,0
477,0
478,1
479,0
480,0
481,1
482,0
483,0
484,0
485,0
486,0
487,1
488,1
489,1
490,1
491,1
492,0
493,1
494,0
495,0
496,1
497,0
498,1
499,1
500,0
501,0
502,0
503,0
504,0
505,1
506,1
507,1
508,0
509,0
510,0
511,0
512,0
513,0
514,0
515,0
516,0
517,0
518,1
519,0
520,1
521,0
522,1
523,1
524,1
525,1
526,1
527,0
528,1
529,0
530,0
531,0
532,1
533,1
534,0
535,1
536,1
537,1
538,0
539,1
540,0
541,0
542,0
543,0
544,1
545,0
546,1
547,1
548,0
549,0
550,0
551,0
552,0
553,1
554,0
555,1
556,0
557,0
558,1
559,0
560,0
561,1
562,0
563,1
564,0
565,1
566,0
567,0
568,0
569,0
570,0
571,0
572,0
573,1
574,0
575,0
576,0
577,0
578,0
579,1
580,1
581,1
582,0
583,0
584,0
585,0
586,0
587,0
588,0
589,1
590,1
591,0
592,0
593,1
594,0
595,0
596,0
597,0
598,1
599,0
600,1
601,0
602,0
603,1
604,0
605,1
606,0
607,1
608,0
609,0
610,0
611,0
612,0
613,1
614,0
615,1
616,0
617,0
618,0
619,0
620,0
621,1
622,0
623,1
624,0
625,1
626,1
627,0
628,1
629,0
630,1
631,0
632,1
633,1
634,0
635,1
636,1
637,0
638,1
639,0
640,0
641,0
642,1
643,1
644,0
645,0
646,0
647,1
648,0
649,0
650,1
651,0
652,1
653,0
654,0
655,0
656,1
657,1
658,0
659,0
660,0
661,1
662,1
663,1
664,0
665,0
666,1
667,1
668,1
669,1
670,0
671,1
672,0
673,0
674,1
675,1
676,0
677,1
678,1
679,0
680,0
681,1
682,0
683,1
684,0
685,1
686,0
687,0
688,1
689,0
690,0
691,0
692,1
693,1
694,1
695,1
696,0
697,0
698,0
699,1
700,0
701,1
702,1
703,0
704,0
705,1
706,0
707,1
708,0
709,0
710,0
711,1
712,1
713,0
714,1
715,0
716,0
717,1
718,0
719,1
720,1
721,0
722,0
723,0
724,0
725,0
726,0
727,1
728,0
729,1
730,1
731,0
732,1
733,0
734,0
735,1
736,0
737,0
738,1
739,0
740,0
741,0
742,0
743,0
744,1
745,0
746,1
747,1
748,1
749,1
750,0
751,0
752,0
753,0
754,0
755,0
756,1
757,1
758,1
759,0
760,0
761,1
762,0
763,0
764,0
765,0
766,0
767,0
768,1
769,1
770,0
771,1
772,0
773,1
774,0
775,0
776,0
777,0
778,1
779,0
780,1
781,1
782,0
783,0
784,1
785,1
786,0
787,1
788,1
789,1
790,1
791,0
792,1
793,0
794,1
795,0
796,0
797,1
798,0
799,0
800,0
801,1
802,1
803,0
804,0
805,0
806,0
807,1
808,0
809,0
810,0
811,1
812,0
